filename	utterance	'point_index	f0_value
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		2	264.07692154889753
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		3	279.54305617810894
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		4	281.30520949912096
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		5	--undefined--
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		6	245.46525918705882
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		7	225.60336927370668
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		8	226.02080760610235
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		9	232.81235789165657
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		10	221.14139345566352
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		11	--undefined--
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		12	234.55029212126541
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		13	238.81094631483552
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		14	267.1404158660417
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		15	300.52268949707894
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		16	277.35702148359275
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		17	301.1188698247573
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		18	298.833080903164
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		19	300.1982670910956
ExpBase_Sp10_S1_Polar_F_U2.TextGrid	tum pani  pio gi 		20	--undefined--
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		1	--undefined--
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		2	276.85212220627125
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		3	280.15145707132547
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		4	261.9991361736179
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		5	249.02783469810316
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		6	261.3733980392403
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		7	--undefined--
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		8	254.5612332267178
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		9	242.54562303378768
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		10	234.59160689207354
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		11	221.09875099475906
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		12	251.2191038756113
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		13	270.6424560169618
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		14	260.71805322902486
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		15	242.81704459556798
ExpBase_Sp10_S2_Alt_F_U1.TextGrid	tum muli  khao gi ya gobi		16	237.65924858947858
