speaker	sentence	frequency	syntax	VA	dur_VA	abs1_VA	abs1_VA_dur	abs2_VA	abs2_VA_dur	abs3_VA	abs3_VA_dur	AN	dur_AN	abs1_AN	abs1_AN_dur	abs2_AN	abs2_AN_dur	abs3_AN	abs3_AN_dur	verb	V_freq	noun	N_freq	V_A_freq	A_N_freq	ratio_BI	dummy
Sp16	Sn144	fi	aa	layed_d	0.429	V-ORh	0.395	IM1-R?	0.059	A-Cl	0.034	ead_f	0.306	R-A-Rh	0.196	IM2-R?	0.022	N-On	0.110	played	Vf	fiends	Ni	VA_high	AN_med	r_VA_high	XXX
Sp16	Sn125	ff	aa	ade	0.430	V-Rh	0.380	IM1-RP	0.050	YY	YY	d_p	0.150	A-Co	0.110	IM2-R	0.024	N-Cl	0.040	made	Vf	pictures	Nf	VA_high	AN_high	r_med	XXX
Sp6	Sn123	if	aa	d_c	0.255	V-Co	0.110	YY	0.100	YY	0.045	losed_d	0.362	R-A-ORh	0.325	YY	YY	N-Cl	0.037	walled	Vi	doors	Nf	VA_low	AN_high	r_AN_high	XXX
Sp18	Sn151	if	bb	l	0.070	YY	YY	YY	YY	A-On	0.070	oose_b	0.361	A-Rh	0.320	YY	YY	N-Cl	0.041	snakes	Vi	boxes	Nf	VA_med	AN_high	r_AN_high	XXX
Sp20	Sn123	if	aa	d_c	0.536	V-Co	0.240	IM1-R	0.230	?A-Cl	0.066	losed_d	0.403	YY	0.374	YY	YY	YY	0.029	walled	Vi	doors	Nf	VA_low	AN_high	r_AN_high	XXX
Sp5	Sn149	ff	bb	l	0.070	YY	YY	YY	YY	A-On	0.070	oose_b	0.430	A-Rh	0.390	YY	YY	N-Cl	0.040	shake	Vf	boxes	Nf	VA_high	AN_high	r_med	XXX	
Sp10	Sn129	ff	bb	k_c	0.120	YY	0.050	YY	0.030	YY	0.040	lean_f	0.610	R-A-ORh	0.420	IM2-P	0.05	N-On	0.150	make	Vf	fields	Nf	VA_high	AN_high	r_VA_high	XXX
Sp6	Sn121	ff	aa	d_c	0.247	V-Co	0.140	IM1-R	0.060	A-Cl	0.047	losed_d	0.326	R-A-ORh	0.293	YY	YY	YY	0.033	called	Vf	doors	Nf	VA_med	AN_high	r_AN_high	XXX
Sp3	Sn145	if	aa	layed_d	0.440	V-ORh	0.400	IM1-R	0.05	A-Cl	0.040	ead_f	0.340	R-A-Rh	0.180	YY	YY	YY	0.160	slayed	Vi	fish	Nf	VA_low	AN_high	r_AN_high	XXX
Sp17	Sn127	if	aa	ade(+rel)	0.240	V-Rh	0.240	IM1-R(P)	0.02	YY	YY	d_p	0.134	A-Co	0.090	IM2-R	0.032	N-Cl	0.044	shade	Vi	pictures	Nf	VA_high	AN_high	r_med	XXX
Sp5	Sn127	if	aa	ade	0.380	V-Rh	0.380	IM1-RP	0.087	YY	YY	d_p	0.130	A-Co	0.100	IM2-R	0.016	N-Cl	0.030	shade	Vi	pictures	Nf	VA_high	AN_high	r_med	XXX
Sp3	Sn144	fi	aa	layed_d	0.529	R-V-ORh	0.440	IM1-R	0.080	A-Cl	0.009	ead_f	0.491	?R-A-Rh	0.351	YY	YY	YY	0.140	played	Vf	fiends	Ni	VA_high	AN_med	r_VA_high	XXX
Sp16	Sn132	ii	aa	ke_c?	0.243	V-Co?	0.190	YY	0.030	YY	0.023	lean_f	0.457	R-A-ORh	0.347	YY	YY	N-On	0.110	rake	Vi	fiefs	Ni	VA_med	AN_low	r_VA_high	XXX
Sp6	Sn159	ff	aa	th	0.070	YY	YY	YY	YY	A-On	0.070	in_f	0.220	A-Rh	0.110	YY	YY	N-On	0.110	wear	Vf	farmers	Nf	VA_high	AN_low	r_VA_high	XXX
Sp16	Sn128	ii	aa	ade	0.510	V-Rh	0.370	IM1-RP	0.140	YY	YY	d_p	0.119	A-Co	0.100	IM2-R	0.027	N-Cl	0.019	shade	Vi	pitchers	Ni	VA_high	AN_high	r_VA_high	XXX
Sp10	Sn152	ii	bb	l	0.030	YY	YY	YY	YY	A-On	0.030	oose_b	0.617	A-Rh?	0.390	YY	YY	YY	0.007	snakes	Vi	bobbers	Ni	VA_med	AN_low	r_VA_high	XXX
Sp16	Sn127	if	aa	ade	0.400	V-Rh	0.350	IM1-RP	0.050	YY	YY	d_p	0.148	A-Co	0.100	IM2-R	0.005	N-Cl	0.048	shade	Vi	pictures	Nf	VA_high	AN_high	r_med	XXX
Sp17	Sn132	ii	aa	ke_c	0.228	V-Co	0.160	IM1-R?	0.030	A-Cl	0.038	linf	0.482	R-A-ORh	0.332	YY	YY	N-On	0.150	rake	Vi	fiefs	Ni	VA_med	AN_low	r_VA_high	XXX
Sp6	Sn113	ff	aa	ropped_f	0.687	R-V-ORh	0.407	IM1-RP	0.160	A-On	0.120	lat_p	0.205	YY	0.160	YY	YY	YY	0.045	dropped	Vf	plants	Nf	VA_med	AN_med	r_med	XXX
Sp17	Sn128	ii	aa	ade(+rel)	0.280	V-Rh	0.280	IM1-R(P)	0.038	YY	YY	d_p	0.129	A-Co	0.090	IM2-R	0.023	N-Cl	0.039	shade	Vi	pitchers	Ni	VA_high	AN_high	r_VA_high	XXX
Sp6	Sn137	ff	bb	ayed	0.200	R-V-Rh	0.200	IM1-R	0.018	YY	YY	k_s	0.470	A-Co	0.200	IM2-RP	0.110	N-On	0.160	stayed	Vf	sisters	Nf	VA_high	AN_low	r_VA_high	XXX
Sp18	Sn115	if	aa	ropped_f	0.502	R-V-ORh	0.382	YY	YY	YY	0.120	lat_p	0.278	A-ONu	0.170	YY	0.070	YY	0.038	cropped	Vi	plants	Nf	VA_low	AN_med	r_AN_high	XXX
Sp3	Sn143	ff	aa	layed_d	0.383	YY	0.344	IM1-R	0.054	YY	0.039	ead_f	0.361	R-A-Rh	0.201	YY	YY	YY	0.160	played	Vf	fish	Nf	VA_high	AN_high	r_med	XXX
Sp20	Sn159	ff	aa	th	0.180	YY	YY	YY	YY	A-On	0.180	in_f	0.310	A-Rh	0.180	YY	YY	N-On	0.130	wear	Vf	farmers	Nf	VA_high	AN_low	r_VA_high	XXX
Sp3	Sn119	if	aa	uys_g	0.513	R-V-Rh	0.474	YY	YY	A-Cl	0.039	reen_p	0.227	R-A-ORh	0.221	YY	YY	N-Cl	0.006	dyes	Vi	paper	Nf	VA_med	AN_high	r_AN_high	XXX
Sp17	Sn129	ff	aa	ke_c	0.174	V-Co	0.140	YY	YY	A-Cl	0.034	lean_f	0.356	R-A-ORh	0.236	YY	YY	N-On	0.120	make	Vf	fields	Nf	VA_high	AN_high	r_VA_high	XXX
Sp16	Sn162	ii	aa	th	0.070	YY	YY	IM1-P	0.092	YY	0.070	in_f	0.270	A-Rh	0.170	YY	YY	?N-On	0.100	pare	Vi	farthings	Ni	VA_low	AN_low	r_VA_high	XXX
Sp6	Sn162	ii	aa	?th	0.110	YY	YY	YY	YY	A-On	0.110	in_f	0.210	A-Rh	0.120	YY	YY	N-On	0.090	pare	Vi	farthings	Ni	VA_low	AN_low	r_VA_high	XXX
Sp18	Sn122	fi	aa	d_c	0.120	V-Co	0.080	IM1-R?	0.03	A-Cl	0.040	losed_d	0.440	YY	0.400	YY	YY	YY	0.040	called	Vf	dorms	Ni	VA_med	AN_low	r_VA_high	XXX
Sp16	Sn142	ii	bb	ayed	0.210	R-V-Rh	0.210	YY	YY	YY	YY	k_s	0.280	A-Co	0.150	IM2-R(P)	0.057	N-On	0.130	bayed	Vi	sissies	Ni	VA_low	AN_low	r_AN_high	XXX
Sp16	Sn114	fi	aa	ropped_f	0.517	R-V-ORh	0.387	YY	YY	YY	0.130	lat_p	0.277	YY	0.150	YY	0.080	YY	0.047	dropped	Vf	planks	Ni	VA_med	AN_med	r_med	XXX
Sp6	Sn160	fi	aa	th	0.110	YY	YY	YY	YY	A-On	0.110	in_f	0.220	A-Rh	0.120	YY	YY	N-On	0.100	wear	Vf	farthings	Ni	VA_high	AN_low	r_VA_high	XXX
Sp20	Sn116	ii	aa	ropped_f	0.529	R-V-ORh	0.349	YY	YY	YY	0.180	lat_p	0.280	A-ONu?	0.170	YY	0.060	YY	0.050	cropped	Vi	planks	Ni	VA_low	AN_med	r_med	XXX
Sp6	Sn142	ii	bb	ayed	0.223	R-V-Rh	0.223	IM1-R	0.022	YY	YY	k_s	0.370	A-Co	0.170	IM2-RP	0.040	N-On	0.160	bayed	Vi	sissies	Ni	VA_low	AN_low	r_AN_high	XXX
Sp10	Sn132	ii	bb	k_c	0.118	V-Co	0.060	YY	0.030	YY	0.028	lean_f	0.652	R-A-ORh	0.452	IM2-P	0.098	N-On	0.150	rake	Vi	fiefs	Ni	VA_med	AN_low	r_VA_high	XXX
Sp6	Sn140	if	bb	ayed	0.243	R-V-Rh	0.243	YY	YY	YY	YY	k_s	0.420	A-Co	0.240	IM2-RP	0.030	N-On	0.150	bayed	Vi	sisters	Nf	VA_low	AN_low	r_AN_high	XXX
Sp5	Sn125	ff	aa	ade	0.660	V-Rh	0.340	IM1-RP	0.320	YY	YY	d_p	0.135	A-Co	0.100	IM2-R	0.013	N-Cl	0.035	made	Vf	pictures	Nf	VA_high	AN_high	r_med	XXX
Sp20	Sn115	if	aa	ropped_f	0.546	R-V-ORh?	0.416	YY	YY	YY	0.130	lat_p	0.261	A-ONu?	0.220	YY	YY	YY	0.041	cropped	Vi	plants	Nf	VA_low	AN_med	r_AN_high	XXX
Sp16	Sn113	ff	aa	ropped_f	0.459	R-V-ORh	0.329	YY	YY	YY	0.130	lat_p	0.279	YY	0.170	YY	0.070	YY	0.039	dropped	Vf	plants	Nf	VA_med	AN_med	r_med	XXX
Sp5	Sn126	fi	aa	ade	0.290	V-Rh	0.290	IM1-RP	0.051	YY	YY	d_p	0.142	A-Cod	0.070	IM2-R	0.017	N-Cl	0.072	made	Vf	pitchers	Ni	VA_high	AN_high	r_VA_high	XXX
Sp6	Sn116	ii	aa	ropped_f	0.725	R-V-ORh	0.425	IM1-RP	0.160	A-On	0.140	lat_p	0.206	YY	0.160	YY	YY	YY	0.046	cropped	Vi	planks	Ni	VA_low	AN_med	r_med	XXX
Sp18	Sn149	ff	bb	l	0.060	YY	YY	YY	YY	A-On	0.060	oose_b	0.333	A-Rh	0.300	YY	YY	N-Cl	0.033	shake	Vf	boxes	Nf	VA_high	AN_high	r_med	XXX
Sp16	Sn129	ff	aa	ke_c	0.135	YY	0.090	YY	YY	YY	0.045	lean_f	0.425	R-A-ORh	0.295	YY	YY	N-On	0.130	make	Vf	fields	Nf	VA_high	AN_high	r_VA_high	XXX
Sp17	Sn162	ii	aa	th	0.150	YY	YY	YY	YY	A-On	0.150	in_f	0.250	A-Rh	0.140	YY	YY	N-On	0.110	pare	Vi	farthings	Ni	VA_low	AN_low	r_VA_high	XXX
Sp17	Sn152	ii	aa	l	0.060	YY	YY	YY	YY	A-On	0.060	oose_b	0.284	A-Rh	0.240	YY	YY	N-Cl	0.044	snakes	Vi	bobbers	Ni	VA_med	AN_low	r_VA_high	XXX
Sp17	Sn142	ii	bb	ayed(+rel)	0.200	R-V-Rh	0.200	IM1-R	0.015	YY	YY	k_s	0.340	A-Co	0.150	IM2-RP	0.040	N-On	0.150	bayed	Vi	sissies	Ni	VA_low	AN_low	r_AN_high	XXX
Sp20	Sn122	fi	aa	d_c	0.166	V-Co	0.130	IM1-R	0.056	A-Cl	0.036	losed_d	0.422	YY	0.384	YY	YY	YY	0.038	called	Vf	dorms	Ni	VA_med	AN_low	r_VA_high	XXX
Sp6	Sn115	if	aa	ropped_f	0.738	R-V-ORh	0.408	IM1-RP	0.150	A-On	0.180	lat_p	0.187	YY	0.150	YY	YY	YY	0.037	cropped	Vi	plants	Nf	VA_low	AN_med	r_AN_high	XXX
Sp18	Sn116	ii	aa	ropped_f	0.577	R-V-ORh	0.437	YY	YY	YY	0.140	lat_p	0.263	A-ONu	0.160	YY	0.060	YY	0.043	cropped	Vi	planks	Ni	VA_low	AN_med	r_med	XXX
Sp3	Sn118	fi	aa	uys_g	0.619	R-V-Rh	0.532	YY	YY	A-Cl	0.047	reen_p	0.286	R-A-ORh	0.203	YY	YY	N-Cl	0.083	buys	Vf	paisley	Ni	VA_high	AN_high	r_med	XXX
Sp6	Sn114	fi	aa	ropped_f	0.624	R-V-ORh	0.384	IM1-RP	0.100	?A-On	0.140	lat_p	0.188	YY	0.140	YY	YY	YY	0.048	dropped	Vf	planks	Ni	VA_med	AN_med	r_med	XXX
Sp5	Sn160	fi	aa	th	0.160	YY	YY	IM1-P	0.168	A-On	0.160	in_f	0.300	A-Rh	0.200	YY	YY	N-On	0.100	wear	Vf	farthings	Ni	VA_high	AN_low	r_VA_high	XXX
Sp5	Sn162	ii	aa	th	0.190	YY	YY	IM1-P	0.205	A-On	0.190	in_f	0.290	A-Rh	0.200	YY	YY	N-On	0.090	pare	Vi	farthings	Ni	VA_low	AN_low	r_VA_high	XXX
Sp3	Sn161	if	aa	th	0.180	YY	YY	YY	YY	A-On	0.180	in_f	0.260	A-Rh	0.130	YY	YY	N-On	0.130	pare	Vi	farmers	Nf	VA_low	AN_low	r_AN_high	XXX
Sp2	Sn115	if	aa	ropped_f	0.816	R-V-ORh	0.456	IM1-RP	0.170	A-On	0.190	lat_p	0.281	A-ONu	0.160	YY	0.080	YY	0.041	cropped	Vi	plants	Nf	VA_low	AN_med	r_AN_high	XXX
Sp2	Sn114	fi	aa	ropped_f	0.767	R-V-ORh	0.487	IM1-RP	0.190	A-On	0.090	lat_p	0.338	A-ORh	0.270	IM2-R	0.030	N-Cl	0.038	dropped	Vf	planks	Ni	VA_med	AN_med	r_med	XXX
Sp15	Sn142	ii	bb	ayed	0.269	R-V-Rh	0.269	YY	YY	YY	YY	k_s	0.210	A-Co	0.100	IM2-R(P)	0.038	N-On	0.110	bayed	Vi	sissies	Ni	VA_low	AN_low	r_AN_high	XXX
Sp20	Sn160	fi	aa	th	0.080	YY	YY	YY	YY	A-On	0.080	in_f	0.330	A-Rh	0.210	YY	YY	N-On	0.120	wear	Vf	farthings	Ni	VA_high	AN_low	r_VA_high	XXX
Sp5	Sn150	fi	bb	l	0.080	YY	YY	YY	YY	A-On	0.080	oose_b	0.390	A-Rh	0.350	YY	YY	N-Cl	0.040	shake	Vf	bobbers	Ni	VA_high	AN_low	r_VA_high	XXX
Sp3	Sn151	if	aa	l	0.080	YY	YY	YY	YY	A-On	0.080	oose_b	0.296	A-Rh	0.260	YY	YY	N-Cl	0.036	snakes	Vi	boxes	Nf	VA_med	AN_high	r_AN_high	XXX
Sp15	Sn162	ii	aa	th+IM	0.180	YY	YY	YY	YY	YY	0.180	in_f	0.340	A-Rh	0.190	YY	YY	YY	0.150	pare	Vi	farthings	Ni	VA_low	AN_low	r_VA_high	XXX
Sp5	Sn152	ii	bb	l	0.080	YY	YY	YY	YY	A-On	0.080	oose_b	0.590	A-Rh	0.360	YY	YY	N-Cl	0.040	snakes	Vi	bobbers	Ni	VA_med	AN_low	r_VA_high	XXX
Sp2	Sn116	ii	aa	ropped_f	0.688	R-V-ORh	0.438	IM1-RP	0.080	A-On	0.170	lat_p	0.260	A-ONu	0.140	YY	0.080	YY	0.040	cropped	Vi	planks	Ni	VA_low	AN_med	r_med	XXX
Sp20	Sn118	fi	aa	uys_g	0.583	R-V-Rh	0.515	YY	YY	A-Cl	0.068	reen_p	0.318	R-A-ORh	0.262	YY	YY	?N-Cl	0.056	buys	Vf	paisley	Ni	VA_high	AN_high	r_med	XXX
Sp10	Sn164	fi	bb	ks_l	0.200	YY	0.120	YY	YY	A-On	0.080	ate_m	0.370	A-Rh	0.210	IM2-RP	0.159	N-On	0.130	works	Vf	marshals	Ni	VA_high	AN_med	r_VA_high	XXX
Sp10	Sn163	ff	bb	ks_l	0.250	YY	0.150	YY	YY	A-On	0.100	ate_m	0.460	A-Rh	0.240	IM2-RP	0.153	N-On	0.130	works	Vf	markets	Nf	VA_high	AN_med	r_VA_high	XXX
Sp18	Sn150	fi	bb	l	0.060	YY	YY	YY	YY	A-On	0.060	oose_b	0.341	A-Rh	0.300	YY	YY	N-Cl	0.041	shake	Vf	bobbers	Ni	VA_high	AN_low	r_VA_high	XXX
Sp20	Sn117	ff	aa	uys_g	0.510	R-V-Rh	0.453	YY	YY	A-Cl	0.057	reen_p	0.270	R-A-ORh	0.263	YY	YY	N-Cl	0.007	buys	Vf	paper	Nf	VA_high	AN_high	r_AN_high	XXX
Sp6	Sn124	ii	aa	d_c	0.401	V-Co	0.160	IM1-R	0.200	A-Cl	0.041	losed_d	0.380	R-A-ORh	0.349	IM2-(R)	0.065	N-Cl	0.031	walled	Vi	dorms	Ni	VA_low	AN_low	r_VA_high	XXX
